,id,lang,difficulty,word_count,title_length,opened,translated,spoken,liked,closed,avg_reading_time,std_reading_time,avg_reading_time_OOF,std_reading_time_OOF,avg_reading_time_firsttrans,std_reading_time_firsttrans,feedback_difficulty_easy,feedback_difficulty_ok,feedback_difficulty_hard,feedback_difficulty_too_hard
0,785740,da,30,10,4,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0
1,786476,da,41,56,4,5,0,0,0,5,827.0,0.0,0,0,0,0,0,0,0,0
2,787213,da,57,130,5,1,9,0,0,1,140.0,0.0,127.0,0.0,93.0,0.0,0,0,0,0
3,796175,da,70,217,7,1,2,0,0,1,46.0,0.0,0,0,0,0,0,0,0,0
4,807764,da,73,104,5,1,8,0,0,1,194.0,0.0,79.0,0.0,62.0,0.0,0,0,0,0
5,807765,da,73,109,2,97,80,22,1,80,2172.4,3742.2757033655344,1706.5555555555557,3062.1122379861736,145.0,245.99457988608881,0,1,1,0
6,806208,da,50,227,5,1,6,0,0,1,3530.0,0.0,103.0,0.0,3473.0,0.0,0,0,0,0
7,806206,da,53,302,9,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0
8,809329,da,46,103,6,2,15,3,1,1,420.0,0.0,141.0,0.0,368.0,0.0,0,0,1,0
9,786474,da,24,63,4,3,27,5,0,3,196.0,134.494113873681,185.0,142.38913816252511,154.33333333333334,131.33756338365484,0,1,1,0
10,786281,da,33,62,5,2,15,0,1,2,100.0,0.0,100.0,0.0,87.0,0.0,0,0,1,0
11,813353,da,34,59,2,6,41,4,0,6,125.33333333333333,106.03563342365413,101.0,67.0,144.5,116.5,0,0,0,0
12,814326,da,54,458,10,1,33,1,0,1,267.0,0.0,267.0,0.0,254.0,0.0,0,0,0,0
13,812391,da,33,145,7,2,9,2,0,2,155.5,102.5,55.0,2.0,28.0,15.0,0,0,0,0
14,816202,da,75,79,3,4,22,15,1,4,385.5,24.5,188.0,0.0,340.0,0.0,0,2,0,0
15,809582,da,50,233,5,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0
16,797430,da,53,95,9,1,7,0,0,1,442.0,0.0,40.0,0.0,34.0,0.0,0,0,0,0
17,820312,da,42,225,10,4,55,15,0,3,79.5,16.5,79.0,16.0,63.0,17.0,0,0,0,0
18,818910,da,49,204,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,827132,da,51,258,4,2,14,0,0,2,256.0,86.0,217.0,0.0,0.0,0.0,0,0,0,0
20,832219,da,44,221,5,3,2,0,0,3,1215.0,1001.2695274833179,960.3333333333334,1170.0747364544236,8.0,11.313708498984761,0,0,0,1
21,834598,da,64,70,1,10,64,68,1,8,4968.0,6373.922497175503,441.0,159.0,145.5,140.5,0,1,1,0
22,833245,da,42,107,12,4,49,1,1,4,287.75,271.9350795686353,255.5,275.40288669511074,256.25,259.707888790464,0,0,1,0
23,838531,da,53,182,6,1,4,0,0,1,516.0,0.0,435.0,0.0,64.0,0.0,0,0,0,0
24,839943,da,48,177,8,1,37,0,1,1,234.0,0.0,234.0,0.0,216.0,0.0,0,0,1,0
25,840578,da,44,287,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,841735,da,44,117,11,2,12,0,0,4,3295.25,1646.114724890097,3285.75,1656.0160589499126,23.25,40.2701812759764,0,0,0,0
27,842947,da,48,257,7,1,4,0,0,1,173.0,0.0,0,0,0,0,0,0,0,0
28,848501,da,51,501,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,855351,da,45,121,10,4,7,0,0,4,1544.3333333333333,1552.164581766022,1538.0,1543.3122388767176,50.0,70.71067811865476,0,1,0,0
30,861715,da,89,35,4,6,22,2,0,5,1762.0,2030.1597638281246,114.66666666666667,32.82614134429381,117.33333333333333,75.19012937583999,0,1,0,0
31,860714,da,53,116,9,2,1,0,0,2,117.5,33.5,117.5,33.5,2.0,2.0,0,0,0,0
32,812392,da,54,98,7,2,0,0,0,1,65.0,0.0,65.0,0.0,0.0,0.0,0,0,0,0
33,867462,da,54,219,12,6,2,0,1,5,92.0,28.0,0,0,0,0,0,0,0,1
34,864429,da,54,188,6,10,6,0,0,4,3643.3333333333335,2668.383572294075,3626.3333333333335,2674.120083732633,16.333333333333332,23.098821518760555,0,0,0,0
35,881582,da,47,192,8,2,1,0,0,4,9206.25,7857.171863176979,8664.0,7777.584554345905,1.5,0.8660254037844386,0,0,0,0
36,885321,da,50,190,10,1,0,0,0,1,551.0,0.0,0,0,0,0,0,0,0,0
37,905354,da,39,160,12,1,5,0,0,1,718.0,0.0,718.0,0.0,47.0,0.0,0,0,0,0
38,963431,da,53,181,6,6,62,11,0,5,1376.0,2257.7630522266945,85.66666666666667,64.25124296246901,170.66666666666666,216.9797737629529,0,1,0,0
39,998161,da,74,604,5,2,5,0,0,2,120.0,0.0,83.0,0.0,46.0,0.0,0,0,0,0
40,998185,da,74,603,5,1,3,0,0,1,255.0,0.0,73.0,0.0,35.0,0.0,0,0,0,0
41,998227,da,54,220,12,2,28,0,0,2,261.0,195.0,123.0,59.0,88.5,35.5,0,0,0,0
42,988917,da,53,484,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1014825,da,52,233,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1027539,da,24,300,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1027538,da,15,345,10,4,6,1,0,2,475.0,0.0,53.0,0.0,49.0,0.0,0,0,0,0
46,1027542,da,17,258,10,5,4,0,0,5,693.0,352.5592148845354,45.0,13.0,511.5,478.5,0,0,0,0
47,1027540,da,26,304,8,2,10,6,0,1,98.0,0.0,94.0,0.0,94.0,0.0,0,0,0,0
48,1027543,da,15,251,4,22,64,15,0,19,262.0,224.8537302336788,63.0,28.0,40.0,40.0,0,0,0,0
49,1027537,da,14,448,8,1,11,0,0,1,70.0,0.0,56.0,0.0,67.0,0.0,0,0,0,0
50,1031144,da,41,345,10,4,7,0,0,3,89.33333333333333,16.33673433979046,41.0,0.0,42.0,0.0,0,0,0,0
51,1026801,da,53,521,5,3,3,0,0,3,46.0,0.0,44.0,0.0,7.0,0.0,0,0,0,0
52,1031151,da,41,345,10,2,0,0,0,2,67.0,0.0,0,0,0,0,0,0,0,0
53,1027541,da,13,306,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1031586,da,42,251,2,9,13,0,1,7,932.3333333333334,1897.6924291242656,92.16666666666667,39.742574428718406,35.5,52.005608671885895,4,0,0,0
