,id,lang,difficulty,word_count,title_length,opened,translated,spoken,liked,closed,avg_reading_time,std_reading_time,avg_reading_time_OOF,std_reading_time_OOF,avg_reading_time_firsttrans,std_reading_time_firsttrans,feedback_difficulty_easy,feedback_difficulty_ok,feedback_difficulty_hard,feedback_difficulty_too_hard
0,206337,de,56,1504,9,4,20,2,0,2,305.0,0.0,305.0,0.0,244.0,0.0,0,0,0,0
1,206439,de,63,842,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,206437,de,53,3456,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,206320,de,59,409,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4,207948,de,55,1493,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
5,207230,de,53,428,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
6,206438,de,62,110,6,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0
7,207985,de,61,900,6,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
8,294655,de,56,269,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
9,206663,de,57,551,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
10,294656,de,60,1338,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
11,294657,de,57,122,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
12,294661,de,54,789,8,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
13,294672,de,63,580,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
14,208318,de,48,967,9,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
15,50538,de,53,306,7,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0
16,68236,de,78,446,8,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0
17,68240,de,65,419,8,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0
18,112098,de,100,114,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,112096,de,60,974,5,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0
20,112099,de,50,1259,6,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0
21,131407,de,60,735,6,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0
22,185312,de,49,662,7,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0
23,294654,de,67,813,5,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0
24,208014,de,38,1814,8,1,65,5,0,2,823.5,213.5,823.5,213.5,823.5,213.5,0,0,0,0
25,35020,de,49,575,7,0,89,4,0,3,5027430.666666667,1641252.938755497,5027430.666666667,1641252.938755497,14888.333333333334,10663.032787261896,0,0,0,0
26,206472,de,39,1212,11,0,29,0,0,1,4002163.0,0.0,4002163.0,0.0,27702.0,0.0,0,0,0,0
27,51894,de,56,953,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
28,53870,de,60,611,11,2,4,0,0,2,147.0,0.0,147.0,0.0,0.0,0.0,0,0,0,0
29,77348,de,75,274,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,77347,de,61,596,5,7,0,0,0,7,101.0,0.0,0,0,0,0,0,0,0,0
31,77365,de,62,169,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
32,77319,de,51,339,5,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
33,77266,de,40,115,5,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
34,77406,de,61,212,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,162477,de,75,509,9,1,6,0,1,1,192.0,0.0,89.0,0.0,72.0,0.0,0,0,0,0
36,162633,de,34,579,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,98715,de,43,1051,6,2,24,0,0,2,9892.0,0.0,9775.0,0.0,215.0,0.0,0,0,0,0
38,175285,de,38,96,4,7,1,1,2,6,1604.0,1556.0,33.0,0.0,6.0,0.0,0,0,0,0
39,175338,de,55,191,7,3,7,0,0,2,0,0,0,0,0,0,0,0,0,0
40,264162,de,60,638,9,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
41,18975,de,38,559,19,1,8,2,0,1,244.0,0.0,244.0,0.0,244.0,0.0,0,0,0,0
42,117543,de,48,147,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
43,164155,de,56,855,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,164227,de,59,294,7,1,4,0,0,1,34.0,0.0,34.0,0.0,15.0,0.0,0,0,0,0
45,164278,de,54,556,6,1,4,0,0,1,33.0,0.0,33.0,0.0,11.0,0.0,0,0,0,0
46,164363,de,53,773,8,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0
47,59789,de,39,184,6,1,0,0,0,1,1166.0,0.0,84.0,0.0,0.0,0.0,0,0,0,0
48,87433,de,56,325,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,87494,de,46,137,6,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0
50,87462,de,60,253,11,1,9,0,0,1,2943.0,0.0,42.0,0.0,16.0,0.0,0,0,0,0
51,422,de,62,1030,4,1,1,0,0,1,2042.0,0.0,1167.0,0.0,40.0,0.0,0,0,0,0
