,id,lang,difficulty,word_count,title_length,opened,translated,spoken,liked,closed,avg_reading_time,std_reading_time,avg_reading_time_OOF,std_reading_time_OOF,avg_reading_time_firsttrans,std_reading_time_firsttrans,feedback_difficulty_easy,feedback_difficulty_ok,feedback_difficulty_hard,feedback_difficulty_too_hard
0,294558,en,75,826,8,1,4,0,0,1,61.0,0.0,61.0,0.0,61.0,0.0,0,0,0,0
1,207767,en,76,188,13,1,4,0,0,1,61.0,0.0,61.0,0.0,0.0,0.0,0,0,0,0
2,207768,en,56,898,11,2,3,0,0,2,183.0,0.0,183.0,0.0,0.0,0.0,0,0,0,0
3,207769,en,47,442,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,207770,en,74,1069,5,1,0,0,0,1,61.0,0.0,61.0,0.0,0.0,0.0,0,0,0,0
5,294595,en,59,98,7,0,29,18,0,1,556230.0,0.0,556230.0,0.0,37769.0,0.0,0,0,0,0
6,294596,en,26,86,4,1,20,9,0,1,3478.0,0.0,3478.0,0.0,671.0,0.0,0,0,0,0
7,207771,en,65,1056,6,1,2,2,0,2,61.0,0.0,61.0,0.0,0.0,0.0,0,0,0,0
8,207772,en,71,2620,9,1,0,0,0,2,61.0,0.0,61.0,0.0,0.0,0.0,0,0,0,0
9,294561,en,48,1680,8,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
10,207974,en,56,616,3,1,2,0,0,1,61.0,0.0,61.0,0.0,0.0,0.0,0,0,0,0
11,208071,en,66,1108,11,4,25,4,1,4,223.66666666666666,125.34308472703586,223.66666666666666,125.34308472703586,61.0,86.2670273047588,0,0,0,0
12,208145,en,100,168,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,294690,en,37,311,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,208147,en,72,478,15,0,8,0,0,1,305.0,0.0,305.0,0.0,61.0,0.0,0,0,0,0
15,208178,en,97,172,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,208165,en,90,202,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,208179,en,60,1080,7,1,0,0,0,1,3539.0,0.0,3539.0,0.0,0.0,0.0,0,0,0,0
18,16248,en,51,1125,6,1,0,0,0,2,61.0,0.0,61.0,0.0,0.0,0.0,0,0,0,0
19,208421,en,8,10,11,0,1,0,0,1,61.0,0.0,61.0,0.0,61.0,0.0,0,0,0,0
20,14210,en,81,1087,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,13304,en,100,221,10,1,0,0,0,1,61.0,0.0,61.0,0.0,0.0,0.0,0,0,0,0
22,12808,en,35,119,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,13037,en,91,169,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,18970,en,53,1621,7,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
25,9871,en,80,161,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,17873,en,90,172,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,18194,en,62,985,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,294757,en,60,1835,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,24502,en,71,606,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,24960,en,100,112,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,25499,en,74,728,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,25743,en,56,2192,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,27904,en,35,682,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,27187,en,69,2202,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,51064,en,63,409,10,2,0,0,0,2,2365.0,0.0,0,0,0,0,0,0,0,0
36,294815,en,49,146,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,294714,en,24,319,10,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
38,51061,en,67,495,10,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0
39,50829,en,52,276,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,52066,en,57,858,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,53847,en,62,785,11,1,1,0,0,1,4729.0,0.0,4729.0,0.0,0.0,0.0,0,0,0,0
42,294842,en,55,442,13,2,6,0,0,2,68.5,24.5,68.5,24.5,44.0,28.0,0,0,0,0
43,294844,en,68,356,6,2,0,0,0,2,166150.5,166097.5,111.5,58.5,0.0,0.0,0,0,0,0
44,53472,en,61,1465,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,217126,en,41,2013,10,3,0,0,0,1,702.0,0.0,0,0,0,0,0,0,0,0
46,54498,en,35,720,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,55930,en,59,1913,11,1,24,0,0,1,235.0,0.0,235.0,0.0,234.0,0.0,0,0,0,0
