,id,lang,difficulty,word_count,title_length,opened,translated,spoken,liked,closed,avg_reading_time,std_reading_time,avg_reading_time_OOF,std_reading_time_OOF,avg_reading_time_firsttrans,std_reading_time_firsttrans,feedback_difficulty_easy,feedback_difficulty_ok,feedback_difficulty_hard,feedback_difficulty_too_hard
0,294589,es,68,171,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,294590,es,73,736,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,294593,es,65,322,15,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3,294606,es,56,436,13,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0
4,294649,es,69,436,13,0,20,0,0,1,61.0,0.0,61.0,0.0,0.0,0.0,0,0,0,0
5,294650,es,76,204,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
6,294651,es,64,837,8,1,68,1,0,0,0,0,0,0,0,0,0,0,0,0
7,294653,es,65,159,15,1,32,0,0,1,61.0,0.0,61.0,0.0,0.0,0.0,0,0,0,0
8,294730,es,62,49,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,294731,es,70,394,14,0,6,0,0,1,2807.0,0.0,2807.0,0.0,1221.0,0.0,0,0,0,0
10,145862,es,77,107,7,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0
11,146247,es,73,777,8,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
12,163890,es,70,385,11,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0
13,201059,es,100,460,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,201031,es,67,258,13,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0
15,359051,es,82,544,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
16,294680,es,75,434,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,191907,es,55,175,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,208142,es,78,651,13,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0
19,294683,es,63,1111,4,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0
20,208118,es,49,911,10,1,10,0,1,1,427.0,0.0,427.0,0.0,183.0,0.0,0,0,0,0
21,294841,es,49,158,18,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0
22,53470,es,67,1805,9,1,0,0,0,1,41.0,0.0,41.0,0.0,0.0,0.0,0,0,0,0
23,295096,es,66,147,21,1,4,0,0,1,83.0,0.0,83.0,0.0,67.0,0.0,0,0,0,0
24,295099,es,88,248,12,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
25,295126,es,56,466,7,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
26,295129,es,53,1366,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,295167,es,57,1638,21,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
28,624548,es,62,1603,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
29,1580729,es,43,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,798492,es,69,345,15,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0
31,795635,es,59,504,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,877336,es,60,378,11,2,25,10,0,2,218.0,0.0,218.0,0.0,167.0,0.0,0,3,0,0
33,876840,es,67,375,13,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0
34,876209,es,64,2531,20,1,4,0,0,1,0,0,0,0,0,0,0,1,0,0
35,875328,es,60,611,6,3,4,0,0,2,66.5,16.5,66.5,16.5,7.5,7.5,0,0,0,0
36,876189,es,69,397,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,914820,es,61,808,10,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0
38,1077926,es,55,397,12,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0
39,1076725,es,59,617,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1076726,es,58,183,5,2,16,2,0,0,0,0,0,0,0,0,0,0,0,0
41,1045586,es,50,112,13,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1076578,es,58,433,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,805348,es,53,1050,13,10,54,2,0,8,120.8,137.27840325411714,137.75,139.86667758976762,82.25,118.42798444624479,0,0,0,0
44,656716,es,48,2164,12,1,0,0,0,1,47.0,0.0,47.0,0.0,0.0,0.0,0,0,0,0
45,377568,es,52,284,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,371518,es,50,168,12,1,9,1,0,1,276.0,0.0,276.0,0.0,181.0,0.0,0,0,0,0
47,1195367,es,59,250,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
