,id,lang,difficulty,word_count,title_length,opened,translated,spoken,liked,closed,avg_reading_time,std_reading_time,avg_reading_time_OOF,std_reading_time_OOF,avg_reading_time_firsttrans,std_reading_time_firsttrans,feedback_difficulty_easy,feedback_difficulty_ok,feedback_difficulty_hard,feedback_difficulty_too_hard
0,294441,fr,59,77,6,2,5,13,4,0,0,0,0,0,0,0,0,0,0,0
1,390902,fr,54,675,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,390870,fr,52,503,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,35003,fr,59,77,6,1,0,0,0,1,32.0,0.0,32.0,0.0,0.0,0.0,0,0,0,0
4,390460,fr,43,278,12,2,7,5,1,2,546.0,0.0,546.0,0.0,74.0,0.0,1,0,0,0
5,390722,fr,58,553,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,390843,fr,57,644,14,2,0,0,0,1,56.0,0.0,56.0,0.0,0.0,0.0,0,1,0,0
7,388814,fr,60,176,10,2,0,0,1,1,96.0,0.0,96.0,0.0,0.0,0.0,0,0,0,0
8,207721,fr,67,198,11,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0
9,294662,fr,52,193,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,120656,fr,39,798,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,294197,fr,75,359,8,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
12,294142,fr,51,442,5,24,307,10,9,0,0,0,0,0,0,0,0,0,0,0
13,294222,fr,59,1475,8,1,26,3,0,0,0,0,0,0,0,0,0,0,0,0
14,294136,fr,55,188,2,3,42,0,2,0,0,0,0,0,0,0,0,0,0,0
15,206397,fr,67,676,10,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0
16,294137,fr,52,821,6,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0
17,152031,fr,63,489,9,1,53,0,1,0,0,0,0,0,0,0,0,0,0,0
18,206670,fr,85,1006,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,206671,fr,74,690,12,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0
20,206720,fr,72,88,11,3,9,1,2,0,0,0,0,0,0,0,0,0,0,0
21,206721,fr,57,404,8,2,21,2,0,0,0,0,0,0,0,0,0,0,0,0
22,294306,fr,55,379,3,11,195,10,4,3,589.6666666666666,446.4081341353697,589.6666666666666,446.4081341353697,508.3333333333333,518.4003172152665,0,0,0,0
23,294105,fr,65,196,3,4,28,2,0,0,0,0,0,0,0,0,0,0,0,0
24,294179,fr,67,226,7,11,85,3,1,0,0,0,0,0,0,0,0,0,0,0
25,294254,fr,60,548,5,4,56,1,0,1,1525.0,0.0,1525.0,0.0,1525.0,0.0,0,0,0,0
26,207228,fr,60,427,7,1,0,0,0,1,366.0,0.0,366.0,0.0,0.0,0.0,0,0,0,0
27,294388,fr,76,62,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,294389,fr,57,1228,15,1,18,4,0,1,106047.0,0.0,106047.0,0.0,15986.0,0.0,0,0,0,0
29,294395,fr,42,177,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,294396,fr,67,746,16,2,13,4,0,2,28647.5,20837.5,28647.5,20837.5,0.0,0.0,0,0,0,0
31,207313,fr,31,95,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,89063,fr,53,395,10,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0
33,207325,fr,70,138,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,294399,fr,65,1044,13,1,3,0,0,1,1342.0,0.0,1342.0,0.0,0.0,0.0,0,0,0,0
35,294400,fr,72,797,11,1,0,0,0,1,244.0,0.0,244.0,0.0,0.0,0.0,0,0,0,0
36,294178,fr,71,255,9,2,40,14,1,0,0,0,0,0,0,0,0,0,0,0
37,295050,fr,78,561,9,1,19,0,0,1,561.0,0.0,383.0,0.0,511.0,0.0,0,0,0,0
38,87572,fr,72,473,9,2,28,1,3,0,0,0,0,0,0,0,0,0,0,0
39,206226,fr,79,713,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,207148,fr,63,287,4,3,34,1,3,0,0,0,0,0,0,0,0,0,0,0
41,207155,fr,59,848,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,206231,fr,72,239,9,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0
43,206232,fr,77,77,13,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
44,294058,fr,65,27,5,7,82,20,1,0,0,0,0,0,0,0,0,0,0,0
45,107608,fr,84,838,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,295058,fr,81,1234,14,1,24,0,1,1,4914.0,0.0,4600.0,0.0,4889.0,0.0,0,0,0,0
47,295059,fr,73,1858,16,1,134,3,1,1,3814.0,0.0,3515.0,0.0,3785.0,0.0,0,0,0,0
48,110365,fr,69,293,16,1,19,2,0,1,474.0,0.0,237.0,0.0,441.0,0.0,0,0,0,0
49,294353,fr,67,913,9,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0
50,294212,fr,60,794,10,2,22,3,0,0,0,0,0,0,0,0,0,0,0,0
51,294093,fr,67,426,6,9,113,4,3,0,0,0,0,0,0,0,0,0,0,0
52,34987,fr,69,584,12,3,76,4,0,0,0,0,0,0,0,0,0,0,0,0
53,294151,fr,53,696,16,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0
54,294181,fr,81,68,9,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
55,294182,fr,65,600,13,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0
56,294216,fr,52,171,11,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0
57,294316,fr,69,169,16,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0
58,294325,fr,40,69,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
59,294326,fr,46,91,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
60,294327,fr,82,142,11,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
61,294328,fr,73,103,7,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
62,294329,fr,56,884,13,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0
63,390548,fr,64,372,16,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0
64,294173,fr,69,616,11,0,51,3,2,0,0,0,0,0,0,0,0,0,0,0
65,294157,fr,57,409,7,16,283,3,5,1,4942.0,0.0,4942.0,0.0,4942.0,0.0,0,0,0,0
66,294352,fr,66,412,8,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0
67,207149,fr,64,378,9,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
68,294350,fr,56,1523,10,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0
69,207150,fr,73,426,10,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0
70,207413,fr,56,321,13,3,26,4,2,3,610.0,0.0,610.0,0.0,0.0,0.0,0,0,0,0
71,207617,fr,60,268,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,207618,fr,85,130,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,35006,fr,59,122,7,2,17,1,0,0,0,0,0,0,0,0,0,0,0,0
74,35005,fr,70,74,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
75,207619,fr,74,552,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,35007,fr,85,865,9,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
77,294145,fr,52,580,7,17,239,17,7,1,4820.0,0.0,4820.0,0.0,4637.0,0.0,0,0,0,0
78,208265,fr,78,511,14,1,26,0,0,1,793.0,0.0,793.0,0.0,793.0,0.0,0,0,0,0
79,536,fr,52,336,6,3,33,0,1,4,345.6666666666667,57.51135153650586,345.6666666666667,57.51135153650586,203.33333333333334,152.16073372880695,0,0,0,0
80,527,fr,57,377,7,2,22,3,1,2,762.5,335.5,762.5,335.5,183.0,183.0,0,0,0,0
81,208267,fr,64,390,19,1,22,0,0,1,245.0,0.0,245.0,0.0,245.0,0.0,0,0,0,0
82,208269,fr,65,189,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,295040,fr,67,395,15,1,37,3,0,1,401.0,0.0,398.0,0.0,383.0,0.0,0,0,0,0
84,295041,fr,74,480,10,1,23,0,0,1,979.0,0.0,802.0,0.0,894.0,0.0,0,0,0,0
