,id,lang,difficulty,word_count,title_length,opened,translated,spoken,liked,closed,avg_reading_time,std_reading_time,avg_reading_time_OOF,std_reading_time_OOF,avg_reading_time_firsttrans,std_reading_time_firsttrans,feedback_difficulty_easy,feedback_difficulty_ok,feedback_difficulty_hard,feedback_difficulty_too_hard
0,233153,it,100,209,9,6,10,6,0,4,212.0,0.0,212.0,0.0,182.0,0.0,0,0,0,0
1,186400,it,93,1228,9,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2,186429,it,74,200,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,186433,it,61,103,15,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0
4,186432,it,51,167,15,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,186640,it,84,655,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,186958,it,79,546,10,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0
7,188157,it,63,352,15,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0
8,188283,it,65,439,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
9,193213,it,56,709,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10,538588,it,100,309,16,5,37,2,0,0,0,0,0,0,0,0,0,6,0,0
11,544991,it,73,111,9,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0
12,548885,it,100,125,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,548873,it,96,1058,9,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
14,1173074,it,83,100,14,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1163366,it,87,288,10,1,28,0,0,1,381.0,0.0,381.0,0.0,352.0,0.0,0,0,0,0
16,1200858,it,84,213,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1199944,it,89,400,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1200704,it,99,950,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1200572,it,95,663,18,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1789331,it,67,533,6,1,0,0,0,1,136.0,0.0,70.0,0.0,0.0,0.0,0,0,0,0
21,1787324,it,65,196,14,1,0,0,0,1,138.0,0.0,66.0,0.0,0.0,0.0,0,0,0,0
22,1784110,it,55,379,9,2,0,0,0,2,205.5,161.5,81.5,37.5,0.0,0.0,0,0,0,0
23,1771818,it,56,1356,18,1,0,0,0,1,55.0,0.0,0,0,0,0,0,0,0,0
24,1759042,it,58,849,21,1,0,0,0,1,100.0,0.0,57.0,0.0,0.0,0.0,0,0,0,0
25,1898876,it,69,686,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1936166,it,69,2487,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1939817,it,68,170,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1934512,it,100,733,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1934666,it,100,656,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1949941,it,78,708,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
