,id,lang,difficulty,word_count,title_length,opened,translated,spoken,liked,closed,avg_reading_time,std_reading_time,avg_reading_time_OOF,std_reading_time_OOF,avg_reading_time_firsttrans,std_reading_time_firsttrans,feedback_difficulty_easy,feedback_difficulty_ok,feedback_difficulty_hard,feedback_difficulty_too_hard
0,976423,pl,59,117,4,1,12,1,1,1,138.0,0.0,138.0,0.0,94.0,0.0,0,0,1,0
1,976416,pl,67,1879,9,1,23,7,0,1,230.0,0.0,159.0,0.0,212.0,0.0,0,0,0,0
2,976605,pl,47,323,16,1,16,0,0,1,566.0,0.0,65.0,0.0,32.0,0.0,0,0,0,0
3,983422,pl,63,786,11,1,1,1,0,1,513.0,0.0,78.0,0.0,16.0,0.0,0,0,0,0
4,983925,pl,69,132,14,1,0,0,0,1,134.0,0.0,50.0,0.0,0.0,0.0,0,0,0,0
5,983185,pl,66,438,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,1899769,pl,54,1947,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1904710,pl,55,285,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1909793,pl,59,418,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1915123,pl,59,283,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1924114,pl,63,351,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1900360,pl,69,460,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1900361,pl,71,160,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1902440,pl,53,406,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1930152,pl,61,504,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1933637,pl,62,731,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1947831,pl,56,693,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1912191,pl,56,269,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1912192,pl,58,318,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1919918,pl,70,283,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1915317,pl,53,257,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1915658,pl,63,340,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1921721,pl,70,182,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
