,id,lang,difficulty,word_count,title_length,opened,translated,spoken,liked,closed,avg_reading_time,std_reading_time,avg_reading_time_OOF,std_reading_time_OOF,avg_reading_time_firsttrans,std_reading_time_firsttrans,feedback_difficulty_easy,feedback_difficulty_ok,feedback_difficulty_hard,feedback_difficulty_too_hard
0,1789383,ru,100,303,8,1,0,0,0,1,83.0,0.0,0,0,0,0,0,0,0,0
1,1789390,ru,100,183,11,1,0,0,0,1,414.0,0.0,53.0,0.0,0.0,0.0,0,0,0,0
2,1789384,ru,100,98,8,2,0,0,0,2,72.0,0.0,72.0,0.0,0.0,0.0,0,0,0,0
3,1789395,ru,96,227,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,1788929,ru,97,607,9,1,0,0,0,1,88.0,0.0,88.0,0.0,0.0,0.0,0,0,0,0
5,1789386,ru,98,506,9,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
6,1789393,ru,94,842,8,1,0,0,0,1,93.0,0.0,75.0,0.0,0.0,0.0,0,0,0,0
7,1901421,ru,100,578,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1835128,ru,100,413,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1904442,ru,100,167,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1905512,ru,97,229,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1930346,ru,62,1338,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1931380,ru,86,528,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1911064,ru,84,533,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1927517,ru,100,121,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1938416,ru,100,2005,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1915955,ru,83,232,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1929942,ru,80,1089,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
