,id,lang,difficulty,word_count,title_length,opened,translated,spoken,liked,closed,avg_reading_time,std_reading_time,avg_reading_time_OOF,std_reading_time_OOF,avg_reading_time_firsttrans,std_reading_time_firsttrans,feedback_difficulty_easy,feedback_difficulty_ok,feedback_difficulty_hard,feedback_difficulty_too_hard
0,1789425,sv,34,161,3,2,0,0,0,1,52.0,0.0,32.0,0.0,0.0,0.0,0,0,0,0
1,1789420,sv,71,118,6,4,0,0,0,4,60.0,15.0,75.0,0.0,0.0,0.0,0,0,0,0
2,1789424,sv,85,126,3,1,0,0,0,1,174.0,0.0,51.0,0.0,0.0,0.0,0,0,0,0
3,1789428,sv,35,141,5,1,0,0,0,1,360.0,0.0,238.0,0.0,0.0,0.0,0,0,0,0
4,1852648,sv,40,259,2,1,5,0,0,1,105.0,0.0,93.0,0.0,99.0,0.0,0,0,0,0
5,1914968,sv,49,830,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1941535,sv,59,263,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1941539,sv,48,135,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1949944,sv,73,166,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1949984,sv,67,313,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1917040,sv,45,194,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1916299,sv,65,303,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1916300,sv,58,119,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1917038,sv,54,247,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1917032,sv,66,165,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1916506,sv,55,126,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1921306,sv,65,587,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1922035,sv,88,396,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1928263,sv,66,1056,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1930174,sv,56,152,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1932061,sv,61,201,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1917044,sv,25,223,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1941158,sv,45,637,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1940080,sv,37,171,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1942556,sv,85,84,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1940383,sv,38,137,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1983006,sv,55,3493,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1985253,sv,76,306,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1998736,sv,67,325,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1996095,sv,44,149,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1996096,sv,43,155,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1996098,sv,37,209,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1989294,sv,53,199,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
